"Time","Japan travel","learn Japanese"
"2024-03-01",75,0
"2024-04-01",65,10
"2024-05-01",71,7
"2024-06-01",76,8
"2024-07-01",61,7
"2024-08-01",69,9
"2024-09-01",55,12
"2024-10-01",73,9
"2024-11-01",64,8
"2024-12-01",69,13
"2025-01-01",70,12
"2025-02-01",70,9
"2025-03-01",60,0
"2025-04-01",65,11
"2025-05-01",57,13
"2025-06-01",46,8
"2025-07-01",66,10
"2025-08-01",46,13
"2025-09-01",55,12
"2025-10-01",60,11
"2025-11-01",100,12
"2025-12-01",90,12
"2026-01-01",93,14
"2026-02-01",94,11
"2026-03-01",65,6
